RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Cat_Geography_France,Cat_Geography_Germany,Cat_Geography_Spain
185,15719377,Cocci,413,0,32,4,0,0,1,1,419,1,1,0,0
186,15654506,Chang,123,1,14,8,0,1,1,0,4809,0,1,0,0
187,15771977,T'ao,339,0,21,1,1514,0,1,0,9740,0,1,0,0
188,15708710,Ford,134,0,19,0,0,0,0,1,6599,0,0,0,1
189,15726676,Marshall,225,1,12,5,0,1,0,1,9786,0,0,0,1
190,15587421,Tsai,296,0,16,7,2483,1,1,0,7460,0,0,1,0
191,15726931,Onwumelu,324,0,23,8,112,1,0,0,4647,1,1,0,0
192,15771086,Graham,121,0,18,3,759,1,1,0,875,0,1,0,0
193,15756850,Golovanov,88,1,22,1,0,1,0,0,5757,0,1,0,0
194,15702741,Potts,210,1,14,8,1143,0,1,0,4351,0,1,0,0
195,15679200,Crawford,189,1,11,9,179,1,1,0,6437,0,0,0,1
196,15594815,Aleshire,416,1,17,3,6143,0,1,1,30,0,1,0,0
197,15635905,Moran,225,0,14,6,0,1,1,1,2105,0,0,0,1
198,15777892,Samsonova,330,1,19,3,2166,0,1,1,7928,0,0,1,0
199,15656176,Jenkins,110,1,39,10,0,1,1,1,2335,0,1,0,0
200,15811127,Volkov,130,1,17,6,1329,0,1,0,532,0,1,0,0
201,15604482,Chiemezie,459,1,12,2,4892,0,1,1,308,0,0,0,1
202,15622911,Jude,368,1,24,4,1991,0,0,1,6088,0,1,0,0
203,15600974,He,125,1,32,5,0,0,0,1,7339,1,0,0,1
204,15727868,Onuora,320,0,20,2,4009,1,1,1,724,1,1,0,0
205,15627801,Ginikanwa,121,1,15,3,6177,0,1,0,4742,0,0,0,1
206,15773039,Ku,159,1,19,3,0,0,1,1,8997,0,1,0,0
207,15755262,McDonald,217,0,23,3,976,0,0,0,9957,1,0,0,1
208,15679531,Collins,227,1,16,5,4470,0,1,1,7629,0,1,0,0
209,15684181,Hackett,252,1,27,5,0,0,1,0,7148,1,1,0,0
210,15612087,Dike,280,1,27,2,2065,0,0,1,7904,0,1,0,0
211,15752047,Trevisano,298,1,15,2,5860,1,1,0,8454,0,0,1,0
212,15624592,Tan,212,1,13,8,0,1,1,1,8476,0,1,0,0
213,15573152,Glassman,229,0,23,9,0,1,0,0,4440,0,1,0,0
214,15594917,Miller,285,0,16,1,201,0,1,1,1985,0,1,0,0
215,15785542,Kornilova,181,1,8,4,3063,1,0,0,2982,0,0,1,0
216,15723488,Watson,277,1,29,7,2102,0,0,1,7892,1,0,1,0
217,15680920,Marchesi,304,1,28,7,74,0,1,0,6676,0,1,0,0
218,15786308,Millar,339,0,15,9,0,1,0,0,8816,0,0,0,1
219,15659366,Shih,416,1,25,1,2018,1,1,0,1712,1,1,0,0
220,15774854,Fuller,201,1,36,8,0,0,1,1,1428,1,1,0,0
221,15725311,Hay,335,0,13,9,2759,1,1,1,4911,0,1,0,0
222,15787155,Yang,123,1,12,7,0,0,0,1,6265,0,0,0,1
223,15727829,McIntyre,176,1,24,2,0,1,1,1,8387,0,1,0,0
224,15733247,Stevenson,459,1,15,10,0,0,1,0,258,1,1,0,0
225,15568748,Poole,280,1,27,6,1549,0,1,1,5466,1,0,1,0
226,15699029,Bagley,279,1,19,4,6078,1,1,0,9910,0,1,0,0
227,15774393,Ch'ien,303,0,12,9,0,1,1,1,1322,0,1,0,0
228,15676895,Cattaneo,156,0,21,6,415,2,1,1,4283,1,0,1,0
229,15637753,O'Sullivan,360,1,32,2,1361,0,1,0,3824,1,0,1,0
230,15605461,Lucas,203,0,11,3,4160,0,1,0,3022,0,0,1,0
231,15808473,Ringrose,282,1,54,1,0,1,0,1,5610,0,1,0,0
232,15627000,Freeman,219,1,22,0,0,1,1,0,3077,0,1,0,0
233,15787174,Sergeyev,121,0,19,1,0,1,0,1,7807,0,1,0,0
234,15723886,Fiore,376,1,2,3,3180,1,0,1,7549,0,0,1,0
235,15704769,Smith,194,0,49,5,2698,1,0,1,4656,0,1,0,0
236,15772896,Dumetochukwu,372,1,24,6,1595,0,1,0,1638,1,0,1,0
237,15711540,Pacheco,321,0,11,2,0,0,1,1,7252,0,1,0,0
238,15764866,Synnot,148,0,25,3,2882,2,1,0,2744,1,0,1,0
239,15794056,Johnston,277,0,28,2,0,2,1,0,4454,1,1,0,0
240,15795149,Stevens,312,1,10,2,629,1,0,1,8131,0,1,0,0
241,15812009,Grant,271,1,20,4,0,1,1,0,6830,0,0,0,1
242,15651001,Tsao,334,0,21,5,2936,0,1,0,6222,0,0,1,0
243,15813844,Barnes,312,1,19,8,2026,1,0,1,3671,0,1,0,0
244,15596175,McIntosh,268,1,49,6,2990,0,1,1,2202,1,0,1,0
245,15576269,Madison,132,1,16,7,0,1,1,0,3069,0,0,0,1
246,15797219,Ifesinachi,244,0,22,10,3510,0,1,0,6627,1,1,0,0
247,15685500,Glazkov,381,1,8,7,5529,1,1,0,3947,0,0,1,0
248,15599792,Dimauro,154,0,8,1,0,1,1,1,9977,0,1,0,0
249,15657566,Wieck,243,1,6,8,1807,0,1,1,7874,0,0,1,0
250,15772423,Liao,348,1,36,8,3768,0,1,0,6741,1,0,1,0
251,15628112,Hughes,380,0,18,5,509,0,0,0,4980,0,0,1,0
252,15753754,Morrison,196,0,16,1,0,1,1,1,4899,0,0,0,1
253,15793726,Matveyeva,290,0,61,0,0,1,0,1,8534,0,1,0,0
254,15694717,Ku,153,1,19,2,573,0,1,1,2839,0,0,1,0
255,15665834,Cheatham,305,1,10,8,0,0,0,0,8824,0,0,0,1
256,15765297,Yao,375,1,23,0,0,1,0,1,1678,0,0,0,1
257,15636684,Kirkland,336,1,16,10,0,1,1,1,9924,0,1,0,0
258,15592979,Rose,280,0,16,6,21,1,0,0,7845,0,0,1,0
259,15750803,Jess,302,0,12,6,3919,0,1,1,2473,0,1,0,0
260,15607178,Welch,459,1,20,3,103,0,1,1,7028,0,0,1,0
261,15713853,Ifeajuna,341,1,24,9,2265,1,1,1,3239,0,0,1,0
262,15673481,Morton,335,0,30,6,1579,0,1,0,3181,0,0,0,1
263,15686776,Rossi,166,0,14,6,6264,1,1,0,749,0,1,0,0
264,15673693,Reppert,291,0,8,0,2416,0,0,1,5607,0,1,0,0
265,15700696,Kang,347,1,13,9,543,0,1,1,910,0,0,0,1
266,15813163,Ch'iu,140,0,18,9,1533,0,1,0,6173,0,0,0,1
267,15653857,Wallis,107,1,16,2,0,1,1,1,7458,0,1,0,0
268,15777076,Clark,260,1,18,7,0,1,1,0,695,0,1,0,0
269,15717398,Fielding,158,0,21,7,0,0,0,0,4050,1,0,0,1
270,15799217,Zetticci,400,0,17,7,89,0,1,0,8048,0,0,1,0
271,15787071,Dulhunty,259,1,23,9,0,1,0,1,9572,0,0,0,1
272,15619955,Bevington,342,1,16,3,1608,2,1,0,2379,1,0,1,0
273,15796505,Boyle,420,0,16,1,5382,1,1,1,9322,0,0,1,0
274,15725166,Newton,316,1,12,8,0,1,1,0,1623,0,1,0,0
275,15800116,Bowman,321,1,10,4,5175,0,0,1,4711,0,0,1,0
276,15758685,Dubinina,315,0,19,7,0,1,1,1,5566,0,0,0,1
277,15694456,Toscani,365,1,44,3,0,0,1,1,571,1,1,0,0
278,15767339,Chiazagomekpere,386,0,35,10,0,1,1,0,9488,0,1,0,0
279,15683562,Allen,255,1,17,6,750,0,0,1,8219,0,1,0,0
280,15782210,K'ung,323,1,28,1,0,0,1,0,7639,1,1,0,0
281,15668893,Wilsmore,391,1,21,8,0,1,1,1,1660,0,1,0,0
282,15669169,Hargreaves,384,1,11,10,0,1,1,1,3388,0,0,0,1
283,15643024,Huang,88,1,17,4,4741,0,1,1,2305,1,0,1,0
284,15699389,Ch'ien,416,1,24,7,3062,0,1,1,1259,0,1,0,0
285,15708608,Wallwork,408,0,4,8,6132,1,0,1,9617,0,1,0,0
286,15626144,Chu,284,1,22,7,2629,1,1,0,1694,0,1,0,0
287,15573112,Kang,211,1,11,5,1869,0,1,0,8058,0,0,0,1
288,15790678,Davidson,84,0,14,8,3129,0,1,0,5034,0,1,0,0
289,15727556,O'Donnell,353,0,8,5,5975,0,1,1,9097,0,0,0,1
290,15697307,Nnachetam,197,1,16,10,0,1,1,0,3922,0,0,0,1
291,15652266,Chidiebele,312,1,24,9,204,0,0,1,6888,0,0,1,0
292,15607098,Ahmed,356,0,23,5,1212,1,1,0,9738,0,0,0,1
293,15655774,Booth,192,1,9,7,0,1,1,0,2509,0,1,0,0
294,15590241,Chuang,359,0,16,9,2600,0,0,0,7559,1,0,0,1
295,15785819,Shao,290,1,20,3,0,1,1,1,5635,0,1,0,0
296,15723654,Tsao,382,1,7,2,4534,0,1,0,3647,0,1,0,0
297,15774510,Tien,323,0,13,4,3661,0,1,1,5351,0,1,0,0
298,15684173,Chang,296,0,26,7,0,2,1,0,7797,1,0,0,1
299,15650068,Johnson,120,1,40,0,5374,0,1,1,8118,0,1,0,0
300,15811490,French,236,1,15,5,0,1,1,1,5203,0,1,0,0
301,15803976,Efremov,303,0,13,10,0,1,1,0,8046,0,1,0,0
302,15682541,Hartley,225,0,18,6,4271,0,0,0,768,0,0,0,1
303,15695699,Calabrese,296,1,17,8,0,1,1,0,526,0,1,0,0
304,15624188,Chiu,321,0,15,6,0,1,1,1,9523,0,1,0,0
305,15812191,Brennan,162,1,15,4,3045,0,0,0,4733,0,1,0,0
306,15636673,Onwuatuegwu,276,1,13,1,3139,0,1,1,1398,0,1,0,0
307,15594898,Hewitt,340,1,25,2,0,0,1,1,8485,1,1,0,0
308,15660211,Shih,238,1,17,7,5714,1,1,0,1560,0,0,1,0
309,15773972,Balashov,223,1,32,4,4605,0,1,0,6397,1,1,0,0
310,15746726,Doyle,47,1,13,8,528,0,1,0,2191,0,0,1,0
311,15712287,Pokrovskii,261,0,62,4,0,1,1,1,9428,0,1,0,0
312,15702919,Collins,338,1,12,6,212,0,1,0,7282,0,0,1,0
313,15674398,Russo,251,1,20,3,0,1,0,0,8561,0,1,0,0
314,15797960,Skinner,415,0,41,0,4499,0,1,0,9153,0,0,1,0
315,15631868,Robertson,353,1,18,2,5592,0,1,1,4361,0,0,0,1
316,15581539,Atkinson,83,1,19,3,0,1,0,0,2822,0,0,0,1
317,15662736,Doyle,168,1,31,2,5255,0,1,0,6039,1,1,0,0
318,15666252,Ritchie,315,1,24,9,0,1,1,1,1426,0,0,0,1
319,15677512,McEncroe,237,0,4,3,0,0,1,0,4267,0,0,0,1
320,15626114,Pearson,38,1,6,4,1283,0,1,0,2249,0,1,0,0
321,15810834,Gordon,134,0,39,2,5193,0,1,1,3192,0,0,0,1
322,15678910,Ts'ai,289,0,12,8,4916,0,1,1,807,0,1,0,0
323,15694408,Lung,358,1,22,1,4773,0,1,0,9155,1,1,0,0
324,15585215,Yuan,372,0,13,4,0,1,0,0,2470,0,1,0,0
325,15682757,Pardey,343,1,12,3,0,1,1,0,5396,0,1,0,0
326,15736601,Tai,325,1,17,4,5098,0,1,0,6729,0,1,0,0
327,15601848,Scott,203,1,17,2,0,1,1,0,5184,0,1,0,0
328,15736008,Hunter,253,0,28,9,1263,0,1,0,5458,1,1,0,0
329,15669064,Mazzanti,280,1,17,1,5122,0,1,1,8959,0,0,1,0
330,15624528,L?,273,1,8,7,2886,1,1,1,4777,0,0,1,0
331,15598493,Beach,265,1,32,7,0,1,0,1,3569,0,1,0,0
332,15601274,Hsieh,276,0,22,1,5228,0,1,0,935,0,0,0,1
333,15702669,Faulkner,272,1,26,2,2958,1,0,1,7266,0,0,1,0
334,15728669,Knowles,193,0,12,8,2534,0,1,0,8897,1,0,1,0
335,15742668,Day,235,0,19,6,2221,0,1,0,289,0,0,0,1
336,15697441,Hsueh,94,1,11,7,6242,0,1,0,5861,1,1,0,0
337,15740476,Tsao,268,0,14,3,5455,1,0,1,8722,0,0,1,0
338,15648064,Kennedy,258,1,15,2,0,1,1,0,108,0,1,0,0
339,15636624,Nwabugwu,414,0,21,5,5941,0,1,0,709,1,0,0,1
340,15807923,Young,325,0,21,10,2809,0,1,0,2129,1,0,1,0
341,15745844,Kerr,251,0,22,6,4048,1,0,1,4303,1,0,1,0
342,15786170,Tien,268,1,13,4,3071,0,0,0,8075,0,1,0,0
343,15681081,Marrero,154,0,29,5,0,1,1,1,1923,0,0,0,1
344,15684484,White,152,1,4,8,0,1,0,0,6415,0,1,0,0
345,15785869,Pisano,327,0,7,7,0,1,1,0,1487,0,1,0,0
346,15763859,Brown,449,0,25,7,0,1,1,0,4537,0,1,0,0
347,15658935,Freeman,239,0,16,9,2111,1,1,0,6937,0,0,1,0
348,15747358,Russell,252,1,41,3,6076,0,1,1,1578,0,0,1,0
349,15735203,Seleznyov,263,0,14,1,2742,0,1,1,6328,0,0,1,0
350,15576256,Yusupova,191,1,21,5,0,1,1,1,6511,0,1,0,0
351,15659420,Foley,268,1,14,3,2159,1,1,1,5123,0,0,0,1
352,15593365,Shih,371,1,21,2,633,0,1,1,915,0,0,0,1
353,15777352,Ikedinachukwu,177,0,14,7,6050,0,1,0,3060,0,0,0,1
354,15812007,Power,279,1,7,6,0,1,1,1,3884,0,0,0,1
355,15625461,Amos,222,0,27,1,6296,1,1,1,7401,0,1,0,0
356,15739438,Reed,148,1,12,0,0,1,1,0,8045,0,1,0,0
357,15611759,Simmons,459,0,39,8,3804,1,1,1,6641,0,0,0,1
